Year,Units,Total,Value
2004,Million USD (constant 2016),Total,13.594220000000002
2005,Million USD (constant 2016),Total,17.84061
2006,Million USD (constant 2016),Total,22.11107
2007,Million USD (constant 2016),Total,31.70545
2008,Million USD (constant 2016),Total,18.65246
2009,Million USD (constant 2016),Total,11.749839999999999
2010,Million USD (constant 2016),Total,15.979989999999999
2011,Million USD (constant 2016),Total,17.25913
2012,Million USD (constant 2016),Total,18.40783
2013,Million USD (constant 2016),Total,25.301
2014,Million USD (constant 2016),Total,30.379070000000002
2015,Million USD (constant 2016),Total,16.32583
2016,Million USD (constant 2016),Total,16.64295
